symbol,timestamp,signal,entry_ltp,exit_ltp,pnl,target,SMMA20,SMMA120,SMMA_gap,price_change_pct,volume
NSE_ICICIBANK-EQ,1770620100,SELL,1393.7,1390.3,3.400000000000091,1,1398.3760196139417,1398.5027097250857,-0.1266901111439438,-0.07170000717000072,65472
NSE_ICICIBANK-EQ,1770701400,BUY,1399.0,1398.0,-1.0,0,1397.4675273167238,1397.44751285781,0.020014458913919952,0.021448487881601096,109971
NSE_TCS-EQ,1770702600,BUY,2988.7,2992.8,4.100000000000364,1,2976.4969400609525,2976.3330917849303,0.16384827602223595,-0.12698412698413306,27499
NSE_TCS-EQ,1770784200,SELL,2957.1,2970.0,-12.900000000000091,0,2979.2777448710635,2979.8629706328124,-0.5852257617489158,-0.14857335809556274,36251
NSE_AXISBANK-EQ,1770872700,SELL,1340.9,1341.2,-0.2999999999999545,0,1347.727725164767,1347.928413049078,-0.20068788431103712,-0.11174016686531585,49225
NSE_RELIANCE-EQ,1770880800,SELL,1454.9,1454.1,0.8000000000001819,1,1459.5142957899511,1459.6596625993816,-0.1453668094304703,-0.006872852233670725,37593
NSE_KOTAKBANK-EQ,1770889200,SELL,425.9,424.65,1.25,1,427.54653043180195,427.6020823807303,-0.0555519489283256,-0.05866478939340608,530652
NSE_ICICIBANK-EQ,1771213500,SELL,1408.8,1411.4,-2.6000000000001364,0,1414.930289071605,1414.957782905885,-0.02749383427999419,-0.4733309784528467,279432
NSE_AXISBANK-EQ,1771218900,BUY,1349.9,1349.3,-0.6000000000001364,0,1338.7996968556251,1338.6273893343596,0.1723075212655658,0.14837895986349134,79439
NSE_HDFCBANK-EQ,1771225500,BUY,927.4,926.3,-1.1000000000000227,0,922.0621170968967,921.9978401317331,0.06427696516357173,-0.026949819436209776,174704
NSE_INFY-EQ,1771304700,BUY,1403.9,1424.2,20.299999999999955,1,1382.384789203779,1381.5657083709573,0.8190808328217827,-0.22032693674484072,250391
